trial_id,stage,seed,probe,status_file,metrics_file,parser_status,parsed_record
safe-01,safe,1101,"30,38,0,0.05,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_safe-01/status.json,,NO_METRICS,
safe-02,safe,1102,"30,45,0,0.10,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_safe-02/status.json,,NO_METRICS,
safe-03,safe,1103,"35,38,1,0.05,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_safe-03/status.json,,NO_METRICS,
middle-04,middle,1201,"35,45,1,0.10,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-04/status.json,,NO_METRICS,
middle-05,middle,1202,"35,52,1,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-05/status.json,,NO_METRICS,
middle-06,middle,1203,"40,45,1,0.10,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-06/status.json,,NO_METRICS,
middle-07,middle,1204,"30,52,2,0.10,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-07/status.json,,NO_METRICS,
middle-08,middle,1205,"40,38,0,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-08/status.json,,NO_METRICS,
middle-09,middle,1206,"35,38,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-09/status.json,,NO_METRICS,
middle-10,middle,1207,"30,45,2,0.15,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-10/status.json,,NO_METRICS,
middle-11,middle,1208,"40,52,0,0.05,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_middle-11/status.json,,NO_METRICS,
aggressive-12,aggressive,1301,"40,52,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-12/status.json,,NO_METRICS,
aggressive-13,aggressive,1302,"40,52,2,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-13/status.json,,NO_METRICS,
aggressive-14,aggressive,1303,"40,45,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-14/status.json,,NO_METRICS,
aggressive-15,aggressive,1304,"40,38,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-15/status.json,,NO_METRICS,
aggressive-16,aggressive,1305,"35,52,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-16/status.json,,NO_METRICS,
aggressive-17,aggressive,1306,"30,52,2,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-17/status.json,,NO_METRICS,
aggressive-18,aggressive,1307,"40,45,0,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-18/status.json,,NO_METRICS,
aggressive-19,aggressive,1308,"35,45,2,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-19/status.json,,NO_METRICS,
aggressive-20,aggressive,1309,"30,38,2,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-20/status.json,,NO_METRICS,
aggressive-21,aggressive,1310,"40,38,1,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-21/status.json,,NO_METRICS,
aggressive-22,aggressive,1311,"35,52,0,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-22/status.json,,NO_METRICS,
aggressive-23,aggressive,1312,"30,45,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-23/status.json,,NO_METRICS,
aggressive-24,aggressive,1313,"40,52,1,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-24/status.json,,NO_METRICS,
aggressive-25,aggressive,1314,"35,38,2,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-25/status.json,,NO_METRICS,
aggressive-26,aggressive,1315,"30,52,1,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-26/status.json,,NO_METRICS,
aggressive-27,aggressive,1316,"40,38,2,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v1/runs/trial_aggressive-27/status.json,,NO_METRICS,
