trial_id,knobs,feasible,area,WNS,runtime_s,TNS,DRC,wirelength,status,failure_stage
safe-01,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 0""}",True,15134.5,0,152.17268173606135,0,0,27414,SUCCESS,
safe-02,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 1""}",True,15310.9,0,156.53510940400884,0,0,28204,SUCCESS,
safe-03,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 2""}",True,15113.2,0,180.3245544419624,0,0,28397,SUCCESS,
middle-04,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 0""}",True,15134.5,0,146.7601345879957,0,0,27363,SUCCESS,
middle-05,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 1""}",True,15318.4,0,182.19672266789712,0,0,28123,SUCCESS,
middle-06,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 2""}",True,15113.2,0,178.12282905797474,0,0,28422,SUCCESS,
middle-07,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 1""}",True,15255.9,0,154.48593797395006,0,0,28813,SUCCESS,
middle-08,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 0""}",True,15137,0,174.98103450215422,0,0,27287,SUCCESS,
middle-09,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}",True,15030.7,0,152.29826725786552,0,0,28815,SUCCESS,
middle-10,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 2""}",True,15030.7,0,153.97661626595072,0,0,28897,SUCCESS,
middle-11,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 1""}",True,15310.9,0,162.48386176209897,0,0,28277,SUCCESS,
aggressive-12,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}",True,15030.7,0,152.31956239999272,0,0,28815,SUCCESS,
aggressive-13,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 1""}",True,15255.9,0,160.06383924093097,0,0,28693,SUCCESS,
aggressive-14,"{""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 0""}",True,15109.5,0,167.05466461693868,0,0,27492,SUCCESS,
